season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2021,51715,김기중,한화,HH,50,투수,15,12,53 2/3,0,0,1,3,0,1.0,0,0,0,
2021,69705,조한민,한화,HH,50,우익수,15,13,96 2/3,0,0,21,0,0,1.0,0,0,0,
2021,69745,김도현,한화,HH,52,투수,14,5,26,1,0,0,3,0,0.75,0,0,0,
2021,62611,임준섭,한화,HH,53,투수,13,0,10 2/3,0,0,0,0,0,,0,0,0,
2021,79764,장민재,한화,HH,54,투수,12,6,29 1/3,0,0,0,2,0,1.0,0,0,0,
2021,73136,이성열,한화,HH,56,1루수,10,7,64,1,0,46,5,5,0.981,0,0,0,
2021,64704,노태형,한화,HH,60,1루수,9,8,61,0,0,55,1,7,1.0,0,0,0,
2021,68797,이승관,한화,HH,64,투수,8,2,5 2/3,0,0,0,1,0,1.0,0,0,0,
2021,79440,정인욱,한화,HH,64,투수,8,1,9 1/3,0,0,1,1,0,1.0,0,0,0,
2021,65503,김지수,한화,HH,71,우익수,6,4,30,0,0,11,0,0,1.0,0,0,0,
2021,69213,윤산흠,한화,HH,75,투수,5,0,3,0,0,0,2,1,1.0,0,0,0,
2021,51767,송호정,한화,HH,79,유격수,4,2,22,1,0,0,4,0,0.8,0,0,0,
2021,51762,장규현,한화,HH,79,포수,4,1,16,0,0,12,0,0,1.0,0,3,0,0.0
2021,50706,장웅정,한화,HH,79,투수,4,0,7 1/3,0,0,2,0,0,1.0,0,0,0,
2021,69702,김건,한화,HH,85,2루수,3,1,13,0,0,2,5,2,1.0,0,0,0,
2021,50720,남지민,한화,HH,85,투수,3,3,7 1/3,0,0,0,0,0,,0,0,0,
2021,64759,서균,한화,HH,85,투수,3,0,1 2/3,1,0,0,0,0,0.0,0,0,0,
2021,51764,정민규,한화,HH,85,3루수,3,3,19,3,0,2,7,1,0.75,0,0,0,
2021,68703,박성웅,한화,HH,95,투수,2,1,3,0,0,0,0,0,,0,0,0,
2021,50758,신지후,한화,HH,95,투수,2,0,1/3,0,0,0,0,0,,0,0,0,
2021,64554,문동욱,한화,HH,101,투수,1,0,1 1/3,0,0,0,0,0,,0,0,0,
2021,67893,박성한,SSG,SK,1,유격수,129,111,993 2/3,23,0,194,313,75,0.957,0,0,0,
2021,75847,최정,SSG,SK,2,3루수,128,123,1029,12,0,83,209,24,0.961,0,0,0,
2021,71837,김강민,SSG,SK,3,중견수,116,40,566 1/3,2,0,149,6,3,0.987,0,0,0,
2021,50854,최지훈,SSG,SK,4,중견수,105,98,670 1/3,1,0,216,5,1,0.995,0,0,0,
2021,76812,이재원,SSG,SK,5,포수,104,80,678 2/3,7,0,551,38,6,0.988,9,59,20,25.3
2021,67872,로맥,SSG,SK,6,1루수,100,93,770,2,0,690,41,67,0.997,0,0,0,
2021,63440,이흥련,SSG,SK,7,포수,87,38,369,1,0,301,22,4,0.997,2,24,7,22.6
2021,62895,한유섬,SSG,SK,7,우익수,87,73,632 2/3,1,0,168,5,2,0.994,0,0,0,
2021,76267,최주환,SSG,SK,9,2루수,74,69,553 2/3,8,0,130,173,40,0.974,0,0,0,
2021,76802,김성현,SSG,SK,11,2루수,73,33,357,3,0,86,119,31,0.986,0,0,0,
2021,79847,김태훈,SSG,SK,12,투수,65,0,58,2,0,0,4,0,0.667,0,0,0,
2021,61895,서진용,SSG,SK,12,투수,65,0,67 1/3,0,1,2,5,0,1.0,0,0,0,
2021,60558,오태곤,SSG,SK,14,1루수,61,20,257 1/3,2,0,251,21,29,0.993,0,0,0,
2021,51895,장지훈,SSG,SK,15,투수,60,1,80 1/3,2,1,2,18,0,0.909,0,0,0,
2021,65343,김택형,SSG,SK,16,투수,59,0,75 1/3,1,2,6,14,1,0.952,0,0,0,
2021,76430,김태혁,SSG,SK,18,투수,50,0,58 1/3,0,1,4,11,1,1.0,0,0,0,
2021,51817,추신수,SSG,SK,19,우익수,47,47,372 1/3,1,0,79,0,0,0.988,0,0,0,
2021,61353,고종욱,SSG,SK,20,좌익수,40,33,214,1,0,27,1,1,0.966,0,0,0,
2021,66917,김찬형,SSG,SK,20,3루수,40,11,159 2/3,2,0,15,28,1,0.956,0,0,0,
2021,64893,박민호,SSG,SK,20,투수,40,0,41,0,0,2,5,0,1.0,0,0,0,
2021,60768,이태양,SSG,SK,20,투수,40,14,103 2/3,0,0,5,12,1,1.0,0,0,0,
2021,65869,이현석,SSG,SK,26,포수,38,25,220,2,0,184,15,2,0.99,1,21,6,22.2
2021,68856,최민준,SSG,SK,26,투수,38,12,86,0,1,3,12,0,1.0,0,0,0,
2021,50859,오원석,SSG,SK,30,투수,33,21,110,1,0,3,14,0,0.944,0,0,0,
2021,64768,조이현,SSG,SK,32,투수,30,8,66 2/3,0,1,2,8,0,1.0,0,0,0,
2021,51863,폰트,SSG,SK,33,투수,25,25,145 2/3,1,0,4,12,0,0.941,0,0,0,
2021,75151,정의윤,SSG,SK,34,좌익수,22,20,138,0,0,33,1,0,1.0,0,0,0,
2021,64896,서동민,SSG,SK,35,투수,20,0,26 1/3,0,2,1,4,0,1.0,0,0,0,
2021,62937,신재영,SSG,SK,35,투수,20,1,28 1/3,0,0,3,2,0,1.0,0,0,0,
2021,66864,안상현,SSG,SK,35,2루수,20,9,82,2,0,22,25,3,0.959,0,0,0,
2021,69813,하재훈,SSG,SK,38,투수,18,0,18,0,0,2,3,0,1.0,0,0,0,
2021,67807,이정범,SSG,SK,39,좌익수,17,17,107,1,0,19,1,0,0.952,0,0,0,
2021,62884,최항,SSG,SK,39,2루수,17,14,99 1/3,3,0,30,28,4,0.951,0,0,0,
2021,51833,가빌리오,SSG,SK,41,투수,15,15,81 1/3,0,0,3,7,0,1.0,0,0,0,
2021,66960,정수민,SSG,SK,44,투수,10,7,30 1/3,1,0,1,2,0,0.75,0,0,0,
2021,62869,문승원,SSG,SK,45,투수,9,9,50 1/3,1,1,3,5,0,0.889,0,0,0,
2021,60841,박종훈,SSG,SK,45,투수,9,9,54 1/3,1,3,6,12,1,0.947,0,0,0,
2021,75138,신재웅,SSG,SK,47,투수,8,0,8 1/3,0,0,0,0,0,,0,0,0,
2021,69825,김창평,SSG,SK,50,좌익수,7,2,23,0,0,3,0,0,1.0,0,0,0,
2021,51867,김건우,SSG,SK,52,투수,6,4,11,0,0,1,1,0,1.0,0,0,0,
2021,63894,김사윤,SSG,SK,52,투수,6,6,17 1/3,0,1,0,3,0,1.0,0,0,0,
2021,66052,남태혁,SSG,SK,52,1루수,6,3,23,2,0,21,0,2,0.913,0,0,0,
2021,51809,조요한,SSG,SK,52,투수,6,0,7,0,0,1,1,0,1.0,0,0,0,
2021,76350,김세현,SSG,SK,57,투수,5,0,4 1/3,0,0,0,0,0,,0,0,0,
2021,64861,이건욱,SSG,SK,57,투수,5,4,12 2/3,0,0,0,1,0,1.0,0,0,0,
2021,51834,르위키,SSG,SK,59,투수,4,4,14 1/3,0,0,0,0,0,,0,0,0,
2021,61743,오준혁,SSG,SK,59,좌익수,4,1,12,0,0,3,0,0,1.0,0,0,0,
2021,68896,이채호,SSG,SK,63,투수,3,0,5,0,0,0,0,0,,0,0,0,
2021,71842,정상호,SSG,SK,63,포수,3,1,9,1,0,4,0,0,0.8,0,1,0,0.0
2021,51897,조병현,SSG,SK,63,투수,3,3,6 2/3,0,0,0,2,0,1.0,0,0,0,
2021,69810,김규남,SSG,SK,71,좌익수,2,2,11,0,0,3,0,0,1.0,0,0,0,
2021,65411,김주온,SSG,SK,71,투수,2,0,2,0,0,0,0,0,,0,0,0,
2021,64890,유서준,SSG,SK,71,우익수,2,0,2,0,0,2,0,0,1.0,0,0,0,
2021,79130,강지광,SSG,SK,77,투수,1,0,1,0,0,0,0,0,,0,0,0,
2021,51868,고명준,SSG,SK,77,1루수,1,0,1,0,0,1,1,0,1.0,0,0,0,
2021,50813,양선률,SSG,SK,77,투수,1,1,1,0,0,1,0,0,1.0,0,0,0,
2021,66858,정동윤,SSG,SK,77,투수,1,0,2,0,0,0,0,0,,0,0,0,
2021,62056,정영일,SSG,SK,77,투수,1,0,2,0,0,0,0,0,,0,0,0,
2021,62404,구자욱,삼성,SS,1,우익수,130,130,1085,3,0,247,9,3,0.988,0,0,0,
2021,79402,김상수,삼성,SS,1,2루수,130,125,1039,12,0,241,359,84,0.98,0,0,0,
2021,62415,박해민,삼성,SS,3,중견수,125,119,989 2/3,1,0,280,2,1,0.996,0,0,0,
2021,74540,강민호,삼성,SS,4,포수,119,110,934,7,0,800,49,5,0.992,3,40,11,21.6
2021,75334,오재일,삼성,SS,5,1루수,117,113,936,2,0,864,50,95,0.998,0,0,0,
