season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2015,73801,송은범,한화,HH,23,7.04,33,2,9,4,1,0.182,70 1/3,103,10,30,4,48,59,55,1.89,0,0,0,1,341,1318,0.343,22,2,4,3,0,11,1,14,1,1,9,8,2,6,80,72,1.11,0.38,39.9,18.7,6.14,3.84,1.6,0.407,0.53,0.937
2015,70425,배영수,한화,HH,24,7.04,32,4,11,0,1,0.267,101,124,21,39,14,56,93,79,1.61,0,0,3,1,469,1799,0.305,19,1,3,5,0,6,0,21,4,0,0,2,0,7,118,114,1.04,0.307,56.2,17.8,4.99,3.48,1.44,0.381,0.511,0.892
2015,65769,김범수,한화,HH,25,7.36,15,0,2,0,0,0.0,14 2/3,10,0,20,1,10,12,12,2.05,0,0,0,0,72,325,0.208,3,0,0,3,0,3,0,0,0,0,4,0,0,4,13,18,0.72,0.244,21.7,22.2,6.14,12.27,0.5,0.431,0.271,0.702
2015,64764,박한길,한화,HH,26,8.56,10,0,0,0,0,,13 2/3,17,0,12,2,9,13,13,2.12,0,0,0,0,71,277,0.298,5,0,0,0,1,2,0,0,0,0,4,0,0,1,21,10,2.1,0.354,27.7,20.3,5.93,7.9,0.75,0.437,0.386,0.823
2015,79746,허유강,한화,HH,27,10.13,5,0,0,0,0,,2 2/3,1,0,2,2,1,3,3,1.13,0,0,0,0,12,44,0.125,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,1.0,0.143,8.8,16.5,3.38,6.75,0.5,0.417,0.25,0.667
2015,74748,정재원,한화,HH,28,11.25,3,0,0,0,0,,4,5,2,3,0,4,5,5,2.0,0,0,0,0,19,90,0.333,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,4,0.75,0.3,30.0,22.5,9.0,6.75,1.33,0.421,0.733,1.154
2015,79764,장민재,한화,HH,29,18.0,4,0,0,0,0,,4,9,1,7,0,3,8,8,4.0,0,0,0,0,25,100,0.5,1,1,0,0,1,2,0,0,0,0,2,0,0,2,3,3,1.0,0.571,25.0,25.0,6.75,15.75,0.43,0.64,0.833,1.473
2015,61767,문재현,한화,HH,30,54.0,2,0,0,0,0,,1/3,1,0,3,0,0,2,2,12.0,0,0,0,0,5,20,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,10.0,60.0,0.0,81.0,0.0,0.8,0.5,1.3
2015,79840,윤석주,SSG,SK,1,0.0,1,0,0,0,0,,1 1/3,2,0,0,0,0,0,0,1.5,0,0,0,0,6,18,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,0.333,18.0,13.5,0.0,0.0,,0.333,0.333,0.666
2015,72862,윤길현,SSG,SK,2,3.16,70,0,4,13,17,0.0,62 2/3,58,7,36,2,62,25,22,1.5,0,0,0,5,284,1148,0.244,12,0,6,2,4,3,0,0,0,0,26,37,1,5,51,69,0.74,0.298,16.4,18.3,8.9,5.17,1.72,0.345,0.382,0.727
