season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2022,SSG,team_hitter,7,0.254,,144,5642,4893,720,1245,242,18,138,1937,682,77,47,530,22,95,1075,96,0.396,0.336,0.732,143,0.272,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,KT,team_hitter,8,0.254,,144,5547,4864,631,1237,192,19,119,1824,588,70,44,519,21,49,1183,105,0.375,0.33,0.705,144,0.239,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,키움,team_hitter,9,0.252,,144,5655,4953,621,1250,203,33,94,1801,578,49,34,527,26,92,1032,89,0.364,0.333,0.697,143,0.243,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,한화,team_hitter,10,0.245,,144,5513,4878,564,1196,217,19,88,1715,520,45,40,497,13,52,1264,92,0.352,0.319,0.671,144,0.237,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,LG,team_hitter,1,0.279,,144,5687,4881,767,1364,227,27,93,1924,714,94,55,583,16,73,804,89,0.394,0.361,0.755,144,0.298,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,KIA,team_hitter,2,0.276,,144,5607,4954,726,1365,224,21,101,1934,673,63,44,500,15,46,957,115,0.39,0.345,0.735,144,0.3,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,NC,team_hitter,3,0.27,,144,5606,4895,679,1321,223,28,98,1894,642,63,55,493,10,100,1005,122,0.387,0.345,0.732,143,0.268,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,KT,team_hitter,4,0.265,,144,5649,4973,672,1316,235,14,89,1846,621,57,47,524,13,48,1074,96,0.371,0.338,0.709,143,0.276,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,롯데,team_hitter,5,0.265,,144,5576,4871,653,1289,231,19,69,1765,608,75,57,522,18,51,1000,110,0.362,0.338,0.7,144,0.288,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,삼성,team_hitter,6,0.263,,144,5581,4912,636,1290,208,23,88,1808,603,77,43,487,15,62,954,114,0.368,0.334,0.702,143,0.267,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,키움,team_hitter,7,0.261,,144,5729,5062,607,1323,223,30,61,1789,576,51,58,484,21,74,1096,87,0.353,0.331,0.684,144,0.258,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,SSG,team_hitter,8,0.26,,144,5630,4923,658,1279,229,16,125,1915,611,77,45,507,21,78,943,89,0.389,0.336,0.725,142,0.254,0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,두산,team_hitter,9,0.255,,144,5538,4859,620,1238,210,32,100,1812,565,57,41,505,25,76,975,90,0.373,0.332,0.705,144,0.242,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,한화,team_hitter,10,0.241,,144,5628,4906,604,1184,211,12,100,1719,568,59,40,535,21,88,1162,103,0.35,0.324,0.674,144,0.24,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,KIA,team_hitter,1,0.301,,144,5812,5124,858,1542,266,28,163,2353,812,45,53,529,18,59,915,119,0.459,0.369,0.828,144,0.308,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,롯데,team_hitter,2,0.285,,144,5766,5110,802,1454,285,41,125,2196,757,37,57,494,12,68,1079,100,0.43,0.352,0.782,144,0.29,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,LG,team_hitter,3,0.283,,144,5725,4919,808,1394,238,29,115,2035,765,46,73,616,18,71,969,98,0.414,0.366,0.78,143,0.284,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,KT,team_hitter,4,0.279,,144,5808,5072,767,1413,234,16,145,2114,722,62,45,580,18,49,1123,112,0.417,0.355,0.772,144,0.277,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,두산,team_hitter,5,0.276,,144,5680,4975,789,1375,243,21,150,2110,743,55,59,510,17,81,1077,100,0.424,0.35,0.774,143,0.28,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,NC,team_hitter,6,0.274,,144,5757,5009,773,1371,226,15,172,2143,737,50,57,513,14,128,1200,100,0.428,0.353,0.781,144,0.27,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,SSG,team_hitter,7,0.273,,144,5647,5001,756,1367,239,20,152,2102,724,51,48,470,12,77,1095,85,0.42,0.342,0.762,144,0.286,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,한화,team_hitter,8,0.27,,144,5702,5005,745,1351,224,18,127,1992,698,42,40,530,18,85,1077,109,0.398,0.347,0.745,144,0.295,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,삼성,team_hitter,9,0.269,,144,5697,4975,770,1336,204,17,185,2129,734,57,47,531,13,87,1150,94,0.428,0.346,0.774,143,0.271,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,키움,team_hitter,10,0.264,,144,5671,5015,672,1326,222,24,104,1908,641,37,49,492,10,78,1141,96,0.38,0.337,0.717,143,0.279,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
