season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2018,68794,헤일,한화,HH,8,4.34,12,3,4,0,0,0.429,66 1/3,68,8,17,4,55,35,32,1.28,0,0,6,0,277,1125,0.269,10,0,2,1,0,3,0,12,3,0,0,0,0,7,86,45,1.91,0.314,93.8,17.0,7.46,2.31,3.24,0.324,0.403,0.727
2018,79764,장민재,한화,HH,9,4.68,34,6,2,0,1,0.75,59 2/3,62,7,23,1,42,33,31,1.42,0,0,0,0,266,969,0.261,14,2,2,2,0,1,0,3,1,5,8,1,0,2,65,71,0.92,0.288,28.5,16.2,6.34,3.47,1.83,0.326,0.424,0.75
2018,68748,샘슨,한화,HH,10,4.68,30,13,8,0,0,0.619,161 2/3,144,17,79,5,195,91,84,1.38,0,0,15,0,703,3047,0.234,26,1,1,3,0,18,2,29,13,0,0,0,0,8,136,143,0.95,0.313,101.6,18.8,10.86,4.4,2.47,0.325,0.363,0.688
2018,72447,권혁,한화,HH,11,4.91,16,1,1,0,3,0.5,11,9,2,4,0,11,6,6,1.18,0,0,0,0,44,173,0.225,1,0,0,0,0,1,0,0,0,1,0,0,0,2,10,10,1.0,0.259,10.8,15.7,9.0,3.27,2.75,0.295,0.4,0.695
2018,74731,송창식,한화,HH,12,4.97,12,1,0,0,1,1.0,12 2/3,15,2,4,1,8,7,7,1.5,0,0,0,0,58,230,0.3,4,0,0,3,0,3,0,0,0,1,5,2,0,1,12,18,0.67,0.302,19.2,18.2,5.68,2.84,2.0,0.345,0.5,0.845
2018,68742,휠러,한화,HH,13,5.13,19,3,9,0,0,0.25,101 2/3,128,12,34,10,94,62,58,1.59,0,0,4,0,459,1896,0.312,16,0,3,2,1,2,1,19,3,0,0,0,0,9,103,87,1.18,0.379,99.8,18.6,8.32,3.01,2.76,0.377,0.439,0.816
2018,78552,강승현,한화,HH,14,5.4,2,0,0,0,0,,1 2/3,3,1,0,0,2,1,1,1.8,0,0,0,0,8,27,0.375,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,2.0,0.4,13.5,16.2,10.8,0.0,,0.375,0.75,1.125
2018,66741,김재영,한화,HH,15,5.66,29,6,4,0,1,0.6,111 1/3,136,15,37,12,56,74,70,1.55,0,0,6,0,503,1853,0.304,32,1,3,4,0,4,0,21,6,0,1,1,0,13,140,119,1.18,0.318,63.9,16.6,4.53,2.99,1.51,0.37,0.481,0.851
2018,73738,안영명,한화,HH,16,5.73,53,8,2,0,8,0.8,66,83,12,15,4,48,44,42,1.48,0,0,0,1,291,1087,0.311,10,0,3,2,1,4,1,1,0,8,10,9,0,7,79,59,1.34,0.34,20.5,16.5,6.55,2.05,3.2,0.354,0.483,0.837
2018,65769,김범수,한화,HH,17,5.77,55,4,4,0,7,0.5,48 1/3,52,7,29,1,54,33,31,1.68,0,0,1,0,223,930,0.277,8,0,2,3,0,8,0,3,0,4,4,7,0,2,40,45,0.89,0.346,16.9,19.2,10.06,5.4,1.86,0.371,0.431,0.802
2018,64759,서균,한화,HH,18,5.79,56,1,1,1,10,0.5,37 1/3,39,7,16,7,22,26,24,1.47,0,0,0,3,168,632,0.271,3,0,1,0,0,3,0,0,0,1,7,15,1,6,60,23,2.61,0.278,11.3,16.9,5.3,3.86,1.38,0.371,0.438,0.809
2018,73750,윤규진,한화,HH,19,5.89,18,2,6,0,0,0.25,84,99,14,30,6,81,63,55,1.54,0,0,4,0,381,1550,0.292,22,2,2,4,0,3,0,17,2,0,1,0,0,7,67,96,0.7,0.343,86.1,18.5,8.68,3.21,2.7,0.356,0.493,0.849
2018,68701,김진욱,한화,HH,20,6.35,3,0,0,0,0,,5 2/3,6,0,3,3,4,4,4,1.59,0,0,0,0,30,107,0.25,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,10,0.4,0.3,35.7,18.9,6.35,4.76,1.33,0.4,0.25,0.65
2018,65764,김민우,한화,HH,21,6.52,23,5,9,0,0,0.357,99 1/3,133,19,41,8,73,79,72,1.75,0,0,6,0,468,1772,0.321,28,1,1,4,0,5,1,20,5,0,0,0,0,9,99,113,0.88,0.35,77.0,17.8,6.61,3.71,1.78,0.39,0.531,0.921
2018,70425,배영수,한화,HH,22,6.63,11,2,3,0,0,0.4,55 2/3,69,6,15,6,47,42,41,1.51,0,0,2,0,251,951,0.303,16,4,0,2,1,0,1,11,2,0,0,0,0,2,53,61,0.87,0.356,86.5,17.1,7.6,2.43,3.13,0.359,0.487,0.846
2018,67737,김진영,한화,HH,23,7.94,4,0,0,0,0,,11 1/3,13,1,4,0,9,10,10,1.5,0,0,0,0,49,178,0.295,0,0,1,0,0,0,0,2,0,0,1,0,0,1,10,12,0.83,0.353,44.5,15.7,7.15,3.18,2.25,0.354,0.364,0.718
2018,68703,박성웅,한화,HH,24,8.68,22,1,1,0,0,0.5,18 2/3,26,4,10,2,18,18,18,1.93,0,0,0,0,94,394,0.321,2,0,1,0,0,0,1,0,0,1,4,5,0,0,15,22,0.68,0.373,17.9,21.1,8.68,4.82,1.8,0.409,0.494,0.903
2018,74167,심수창,한화,HH,25,15.43,3,0,0,0,0,,2 1/3,7,2,0,0,2,4,4,3.0,0,0,0,1,13,51,0.583,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0.33,0.556,17.0,21.9,7.71,0.0,,0.538,1.083,1.621
2018,60757,김경태,한화,HH,26,16.88,3,0,0,0,0,,2 2/3,4,2,5,0,2,5,5,3.38,0,0,0,0,17,78,0.364,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,2,1.5,0.286,26.0,29.3,6.75,16.88,0.4,0.563,0.909,1.472
2018,77452,이동걸,한화,HH,27,18.0,1,0,0,0,0,,2,5,1,0,0,2,4,4,2.5,0,0,0,0,11,37,0.455,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3.0,0.5,37.0,18.5,9.0,0.0,,0.455,0.909,1.364
2018,75138,신재웅,SSG,SK,1,2.77,54,2,3,16,6,0.4,52,49,5,28,1,43,23,16,1.48,0,0,0,5,226,868,0.257,3,0,5,1,0,3,0,0,0,2,32,28,0,4,39,61,0.64,0.306,16.1,16.7,7.44,4.85,1.54,0.353,0.351,0.704
2018,77829,김광현,SSG,SK,2,2.98,25,11,8,0,0,0.579,136,125,16,30,2,130,48,45,1.14,0,0,12,0,554,2146,0.242,16,2,5,1,0,3,0,25,11,0,0,0,0,11,149,113,1.32,0.294,85.8,15.8,8.6,1.99,4.33,0.286,0.374,0.66
2018,76858,박희수,SSG,SK,3,3.27,35,1,2,0,4,0.333,33,35,1,15,3,30,14,12,1.52,0,0,0,1,146,612,0.278,8,0,1,1,0,0,0,0,0,1,9,8,0,3,33,29,1.14,0.354,17.5,18.5,8.18,4.09,2.0,0.366,0.365,0.731
