season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,68043,김민,SSG,SK,13,5.3,19,4,2,1,5,0.667,18 2/3,16,1,12,1,23,13,11,1.5,0,0,0,1,85,297,0.222,3,0,0,0,2,2,0,0,0,4,3,6,0,2,20,13,1.54,0.313,15.6,15.9,11.09,5.79,1.92,0.341,0.306,0.647
2026,50812,박시후,SSG,SK,14,6.08,13,0,1,0,0,0.0,13 1/3,14,3,7,3,11,11,9,1.58,0,0,0,1,63,235,0.269,4,0,0,1,0,2,0,0,0,0,1,1,0,1,13,15,0.87,0.282,18.1,17.6,7.43,4.73,1.57,0.381,0.519,0.9
2026,52868,이기순,SSG,SK,15,6.75,7,1,1,0,0,0.5,9 1/3,11,0,11,2,7,7,7,2.36,0,0,0,0,51,202,0.289,3,0,0,0,0,1,0,1,0,1,4,0,0,0,8,12,0.67,0.355,28.9,21.6,6.75,10.61,0.64,0.471,0.368,0.839
2026,51895,장지훈,SSG,SK,16,8.31,12,0,0,0,0,,17 1/3,21,3,6,2,9,16,16,1.56,0,0,0,0,80,281,0.292,4,0,0,0,1,0,0,0,0,0,3,0,0,1,21,21,1.0,0.3,23.4,16.2,4.67,3.12,1.5,0.363,0.472,0.835
2026,51702,이준기,SSG,SK,17,9.0,1,0,0,0,0,,2,3,0,2,0,1,2,2,2.5,0,0,0,0,11,45,0.375,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0.25,0.375,45.0,22.5,4.5,9.0,0.5,0.455,0.5,0.955
2026,52809,전영준,SSG,SK,17,9.0,12,0,0,1,0,,11,9,3,6,2,15,11,11,1.36,0,0,0,0,47,186,0.231,0,0,0,0,0,0,0,0,0,0,2,1,1,3,6,9,0.67,0.286,15.5,16.9,12.27,4.91,2.5,0.362,0.462,0.824
2026,56823,타케다,SSG,SK,19,10.21,7,1,5,0,0,0.167,27 1/3,41,3,18,1,26,31,31,2.16,0,0,0,0,141,569,0.339,8,0,0,1,0,4,0,7,1,0,0,0,0,1,35,20,1.75,0.409,81.3,20.8,8.56,5.93,1.44,0.426,0.479,0.905
2026,56800,긴지로,SSG,SK,20,18.0,1,0,1,0,0,0.0,3,3,1,6,0,2,6,6,3.0,0,0,0,0,18,78,0.3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,3,1.0,0.25,78.0,26.0,6.0,18.0,0.33,0.529,0.6,1.129
2026,65343,김택형,SSG,SK,21,40.5,1,0,0,0,0,,2/3,1,1,2,0,1,3,3,4.5,0,0,0,0,5,25,0.333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,25.0,37.5,13.5,27.0,0.5,0.6,1.333,1.933
2026,56469,정재훈,삼성,SS,1,0.0,1,0,0,0,0,,1,1,0,0,0,0,0,0,1.0,0,0,0,0,3,4,0.333,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,,0.333,4.0,4.0,0.0,0.0,,0.333,0.333,0.666
2026,50464,이승민,삼성,SS,2,1.71,20,1,0,0,6,1.0,21,12,0,14,0,13,6,4,1.24,0,0,0,0,87,357,0.167,3,0,1,0,1,0,0,0,0,1,1,8,0,2,21,26,0.81,0.203,17.9,17.0,5.57,6.0,0.93,0.302,0.208,0.51
2026,65062,김재윤,삼성,SS,3,1.8,17,2,1,8,0,0.667,15,9,1,9,1,16,3,3,1.2,0,0,0,2,62,255,0.173,3,0,0,0,0,0,0,0,0,2,12,10,0,1,12,15,0.8,0.229,15.0,17.0,9.6,5.4,1.78,0.306,0.288,0.594
2026,53375,후라도,삼성,SS,4,2.12,8,2,1,0,0,0.667,51,44,6,8,1,34,13,12,1.02,0,0,8,0,205,769,0.23,4,1,2,3,0,3,0,8,2,0,0,0,0,3,66,50,1.32,0.247,96.1,15.1,6.0,1.41,4.25,0.261,0.356,0.617
2026,62360,김태훈,삼성,SS,5,2.25,8,1,1,0,1,0.5,8,3,1,3,1,4,5,2,0.75,0,0,0,0,31,111,0.12,1,0,2,0,0,0,0,0,0,1,1,3,0,1,11,7,1.57,0.1,13.9,13.9,4.5,3.38,1.33,0.241,0.28,0.521
2026,55455,배찬승,삼성,SS,6,2.4,20,2,0,0,3,1.0,15,13,3,13,0,9,5,4,1.73,0,0,0,0,69,274,0.236,1,0,1,0,0,2,0,0,0,2,3,3,0,3,16,17,0.94,0.233,13.7,18.3,5.4,7.8,0.69,0.382,0.418,0.8
2026,62754,임기영,삼성,SS,7,3.14,11,0,0,0,0,,14 1/3,17,3,3,1,7,5,5,1.4,0,0,0,0,63,252,0.288,2,0,0,0,0,0,0,0,0,0,9,0,0,1,17,18,0.94,0.286,22.9,17.6,4.4,1.88,2.33,0.333,0.475,0.808
