season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,53706,박재규,한화,HH,21,9.0,2,0,0,0,0,,1,1,0,1,0,0,1,1,2.0,0,0,0,0,5,23,0.333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.333,11.5,23.0,0.0,9.0,0.0,0.5,0.333,0.833
2026,54702,원종혁,한화,HH,22,10.5,9,1,0,0,0,1.0,6,13,1,7,0,3,8,7,3.33,0,0,0,0,38,144,0.433,2,0,1,0,0,0,0,0,0,1,4,0,0,0,3,11,0.27,0.462,16.0,24.0,4.5,10.5,0.43,0.541,0.6,1.141
2026,53754,김서현,한화,HH,23,12.38,12,1,2,1,0,0.333,8,9,1,15,4,5,12,11,3.0,0,0,0,1,52,210,0.281,1,0,1,0,0,1,0,0,0,1,5,2,0,0,11,7,1.57,0.308,17.5,26.3,5.63,16.88,0.33,0.549,0.406,0.955
2026,50710,김범준,한화,HH,24,13.5,1,0,0,0,0,,2/3,2,0,0,0,0,1,1,3.0,0,0,0,0,4,14,0.667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.667,14.0,21.0,0.0,0.0,,0.667,1.333,2.0
2026,65707,주현상,한화,HH,25,15.43,3,0,0,0,0,,2 1/3,7,1,2,0,1,9,4,3.86,0,0,0,0,17,61,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0.4,0.462,20.3,26.1,3.86,7.71,0.5,0.529,0.786,1.315
2026,54705,김도빈,한화,HH,26,24.75,6,0,1,0,1,0.0,4,3,0,10,2,6,11,11,3.25,0,0,0,0,27,121,0.214,2,1,0,1,0,3,0,0,0,0,1,0,0,0,4,2,2.0,0.333,20.2,30.3,13.5,22.5,0.6,0.556,0.5,1.056
2026,65056,엄상백,한화,HH,27,27.0,1,0,0,0,0,,1/3,2,0,0,1,0,1,1,6.0,0,0,0,0,4,13,0.667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.667,13.0,39.0,0.0,0.0,,0.75,1.333,2.083
2026,62869,문승원,SSG,SK,1,0.96,22,2,0,0,5,1.0,28,14,0,10,3,16,7,3,0.86,0,0,0,0,111,463,0.146,2,0,1,1,1,0,0,0,0,2,2,3,0,0,35,32,1.09,0.173,21.0,16.5,5.14,3.21,1.6,0.245,0.167,0.412
2026,64861,이건욱,SSG,SK,2,1.86,6,0,0,0,1,,9 2/3,5,1,4,0,10,2,2,0.93,0,0,0,0,36,140,0.156,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10,7,1.43,0.19,23.3,14.5,9.31,3.72,2.5,0.25,0.281,0.531
2026,51897,조병현,SSG,SK,3,3.57,23,2,3,7,0,0.4,22 2/3,19,1,17,3,25,9,9,1.59,0,0,0,2,106,451,0.224,1,0,0,1,1,2,0,0,0,2,17,9,1,1,13,29,0.45,0.3,19.6,19.9,9.93,6.75,1.47,0.368,0.271,0.639
