season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2025,50108,함창건,LG,LG,22,0.188,15,36,32,2,6,2,0,0,8,2,0,1,3,0,0,9,1,0.25,0.25,0.5,1,0.1,0.2,2,6,12,0.5,0,0.33,3.75,0.063,2.0,0.175
2025,67504,김정율,LG,LG,23,0.182,13,13,11,0,2,0,0,0,2,1,0,1,1,0,0,6,0,0.182,0.231,0.413,0,0.0,0.0,0,1,3,0.33,0,0.17,4.46,0.0,1.0,0.149
2025,52121,문정빈,LG,LG,24,0.167,21,33,30,5,5,0,0,2,11,4,0,0,1,0,2,11,0,0.367,0.242,0.609,1,0.1,0.333,2,7,7,1.0,0,0.09,3.88,0.2,3.1,0.201
2025,55167,김영우,LG,LG,25,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,75867,김진성,LG,LG,25,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,51154,김진수,LG,LG,25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,53139,박명근,LG,LG,25,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,65109,백승현,LG,LG,25,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,51526,우강훈,LG,LG,25,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,50106,유영찬,LG,LG,25,0.0,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.5,0.5,0,0.0,0.0,0,0,1,0.0,0,,4.0,0.0,0.3,0.225
2025,61145,이우찬,LG,LG,25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,69134,이정용,LG,LG,25,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,69108,이지강,LG,LG,25,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,63950,장현식,LG,LG,25,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,65905,최승민,LG,LG,25,0.0,19,6,5,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0.0,0.167,0.167,0,0.0,0.0,0,3,0,,0,0.5,3.17,0.0,-0.6,0.075
2025,63248,함덕주,LG,LG,25,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2025,55712,이승현,한화,HH,1,1.0,4,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,3.0,1.0,4.0,0,1.0,1.0,1,0,0,,0,,1.0,2.0,1.0,1.2
2025,51762,장규현,한화,HH,1,1.0,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.0,1.0,2.0,0,0.0,0.0,0,0,0,,0,,3.5,0.0,0.8,0.7
2025,53764,문현빈,한화,HH,3,0.32,141,592,528,71,169,30,2,12,239,80,5,11,38,2,10,82,11,0.453,0.37,0.823,53,0.319,0.25,44,148,140,1.06,13,0.46,3.62,0.133,88.0,0.28
2025,55703,리베라토,한화,HH,4,0.313,62,273,246,41,77,18,2,10,129,39,0,4,23,0,0,47,3,0.524,0.366,0.89,22,0.339,0.0,30,60,66,0.91,6,0.49,3.62,0.211,45.7,0.296
2025,62700,하주석,한화,HH,5,0.297,95,305,276,34,82,14,0,4,108,28,11,1,12,0,5,66,10,0.391,0.337,0.728,24,0.329,0.091,18,74,55,1.35,1,0.18,3.52,0.094,32.8,0.249
2025,77532,손아섭,한화,HH,6,0.288,111,416,372,39,107,22,3,1,138,50,4,2,37,2,1,59,3,0.371,0.352,0.723,24,0.31,0.222,26,133,75,1.77,3,0.63,3.79,0.083,47.8,0.251
