season_year,player_name,team_name,hr9,lob_rate,fip,kfip,fip_war,ra9_war,k_rate,bb_rate,avg_against,obp_against,slg_against,ops_against
2021,김강민(투),SSG,13.5,166.7,24.33,24.84,-0.07,-0.03,25.0,25.0,0.333,0.5,1.333,1.833
2021,손주영,LG,1.35,58.2,6.07,6.27,-0.07,-0.41,16.5,15.7,0.307,0.409,0.535,0.944
2021,변시원,KIA,0.0,60.0,21.33,25.54,-0.07,-0.1,0.0,42.9,0.333,0.714,0.333,1.048
2021,이우석,NC,0.93,78.7,6.13,6.46,-0.08,0.05,16.3,14.3,0.342,0.469,0.526,0.996
2021,박관진,키움,0.0,0.0,21.33,25.54,-0.08,-0.39,0.0,25.0,0.625,0.75,0.75,1.5
2021,조요한,SSG,0.0,68.4,6.05,6.68,-0.08,-0.09,10.5,23.7,0.345,0.5,0.448,0.948
2021,소이현,NC,0.84,55.1,6.05,6.3,-0.08,-0.26,16.9,20.3,0.289,0.424,0.422,0.846
2021,오현택,롯데,1.1,67.3,5.23,5.47,-0.08,-0.34,9.2,9.2,0.368,0.425,0.539,0.965
2021,노시훈,NC,1.93,90.9,7.83,8.41,-0.08,0.04,9.1,18.2,0.222,0.364,0.444,0.808
2021,최승용,두산,1.47,78.4,5.52,5.53,-0.08,0.14,19.3,12.0,0.286,0.378,0.486,0.864
2021,김종수,한화,1.35,67.6,5.9,6.06,-0.08,0.44,18.3,15.4,0.202,0.333,0.387,0.72
2021,문대원,두산,6.75,115.4,16.08,16.97,-0.08,-0.01,11.1,22.2,0.286,0.444,0.714,1.159
2021,김동우,롯데,1.8,58.8,7.73,8.24,-0.09,-0.19,10.0,16.7,0.417,0.517,0.542,1.059
2021,하준호,KT,1.5,62.5,5.33,5.32,-0.09,-0.2,17.9,10.7,0.327,0.393,0.51,0.903
2021,정우준,롯데,1.59,60.3,7.92,8.52,-0.09,0.05,13.8,17.2,0.273,0.448,0.5,0.948
2021,김진영,한화,0.98,80.9,5.84,6.25,-0.1,0.33,9.9,17.3,0.242,0.37,0.379,0.749
2021,양선률,SSG,0.0,57.1,13.33,15.38,-0.1,-0.19,10.0,30.0,0.5,0.7,0.5,1.2
2021,박세웅,삼성,3.0,65.8,10.33,11.08,-0.1,-0.16,11.1,16.7,0.385,0.5,0.769,1.269
2021,배동현,한화,0.71,71.4,5.28,5.54,-0.11,0.36,14.7,14.1,0.234,0.356,0.372,0.728
2021,이채호,SSG,3.6,48.8,9.13,9.47,-0.11,-0.21,11.1,11.1,0.348,0.407,0.609,1.016
2021,김동욱,키움,6.0,96.2,11.67,11.88,-0.11,-0.06,12.5,6.2,0.467,0.5,1.0,1.5
2021,한승혁,롯데,2.25,56.6,8.58,8.88,-0.12,-0.24,20.0,20.0,0.316,0.48,0.526,1.006
2021,강태경,NC,1.42,76.6,6.65,6.96,-0.12,0.1,16.4,16.4,0.277,0.417,0.468,0.885
2021,조제영,두산,0.84,58.0,6.43,6.98,-0.13,-0.4,8.3,16.7,0.367,0.483,0.49,0.973
2021,김건우,SSG,0.82,69.9,6.52,7.01,-0.13,0.3,13.0,22.2,0.19,0.37,0.286,0.656
2021,김준형,키움,1.26,85.6,6.12,6.49,-0.13,0.17,11.9,10.4,0.263,0.373,0.386,0.759
2021,김선기,키움,0.93,58.7,5.44,5.76,-0.13,-0.29,11.2,9.8,0.277,0.368,0.419,0.787
2021,김태현,NC,0.0,50.0,8.4,9.61,-0.13,-0.27,9.4,21.9,0.263,0.5,0.263,0.763
2021,임정호,NC,0.52,72.3,4.95,5.18,-0.14,0.58,14.5,15.2,0.278,0.401,0.368,0.77
2021,이종민,키움,3.86,52.1,15.33,16.55,-0.14,-0.26,17.6,41.2,0.444,0.647,0.778,1.425
2021,유재유,두산,5.4,80.6,15.03,16.26,-0.14,-0.17,5.3,26.3,0.308,0.474,0.769,1.243
2021,한차현,KT,7.36,51.3,13.97,14.24,-0.15,-0.33,13.0,8.7,0.476,0.522,0.905,1.427
2021,이강준,롯데,1.08,62.5,9.69,10.87,-0.15,0.04,8.2,28.6,0.333,0.551,0.455,1.006
2021,임규빈,키움,3.12,54.7,7.83,7.99,-0.15,-0.16,14.0,9.3,0.333,0.395,0.718,1.113
2021,최민준,SSG,1.15,69.8,5.54,5.72,-0.15,0.6,15.6,12.6,0.278,0.38,0.428,0.808
2021,하재훈,SSG,0.5,80.4,6.0,6.58,-0.15,0.24,9.1,18.2,0.239,0.407,0.313,0.72
2021,이재학,NC,1.52,73.8,6.06,6.22,-0.15,1.53,17.6,14.1,0.239,0.359,0.434,0.792
2021,양창섭,삼성,1.8,72.6,5.8,5.79,-0.17,-0.02,17.8,11.0,0.333,0.403,0.556,0.958
2021,장필준,삼성,1.04,64.3,5.79,6.05,-0.17,-0.34,13.8,15.5,0.317,0.425,0.469,0.894
2021,이승민,삼성,1.51,59.1,6.05,6.29,-0.17,-0.49,12.7,10.4,0.336,0.41,0.51,0.92
2021,정성종,롯데,1.5,63.5,7.08,7.67,-0.17,-0.27,6.2,12.3,0.345,0.431,0.473,0.903
2021,김건태,NC,1.35,65.8,6.93,7.32,-0.18,-0.04,17.2,24.1,0.091,0.31,0.227,0.538
2021,김재열,KIA,1.1,72.1,5.84,6.18,-0.18,0.22,11.8,11.8,0.231,0.34,0.364,0.704
2021,장재영,키움,0.0,57.1,6.33,6.94,-0.19,-0.19,15.2,26.1,0.238,0.462,0.317,0.779
2021,남재현,KIA,2.25,40.7,9.08,9.74,-0.19,-0.29,11.4,22.7,0.323,0.455,0.581,1.035
2021,오동욱,한화,1.08,66.1,6.37,6.85,-0.19,0.17,11.1,13.7,0.221,0.359,0.411,0.77
2021,차명진,KIA,0.84,69.1,7.36,8.07,-0.19,-0.12,10.5,22.8,0.286,0.456,0.429,0.885
2021,송재영,롯데,1.84,42.7,6.88,7.08,-0.2,-0.59,16.5,15.2,0.369,0.474,0.6,1.074
2021,김대현,LG,4.91,36.6,11.52,11.81,-0.2,-0.26,17.4,13.0,0.368,0.478,0.895,1.373
2021,장웅정,한화,4.91,78.9,10.15,10.39,-0.2,-0.19,10.5,5.3,0.417,0.447,0.861,1.308
2021,박주홍,한화,0.0,63.6,10.33,11.64,-0.2,-0.11,16.7,50.0,0.25,0.611,0.25,0.861
2021,장지수,KIA,0.63,80.5,6.89,7.67,-0.21,0.13,7.5,19.4,0.176,0.373,0.275,0.648
