순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS,player_link,player_id,season_year,team_code
4,최민준,SSG,3.52,10,1,4,0,0,0.200,46,39,6,21,3,39,23,18,1.30,0,0,0,0,197,768,0.229,5,0,1,2,0,2,1,10,1,0,0,0,0,6,50,44,1.14,0.260,76.8,16.7,7.63,4.11,1.86,0.321,0.365,0.686,/Record/Player/PitcherDetail/Basic.aspx?playerId=68856,68856,2026,SK
5,조병현,SSG,3.66,20,1,3,5,0,0.250,19 2/3,17,1,14,2,20,8,8,1.58,0,0,0,2,91,380,0.230,1,0,0,1,1,1,0,0,0,1,14,7,1,1,9,29,0.31,0.296,19.0,19.3,9.15,6.41,1.43,0.363,0.284,0.647,/Record/Player/PitcherDetail/Basic.aspx?playerId=51897,51897,2026,SK
6,정동윤,SSG,3.86,3,0,0,0,0,-,4 2/3,1,0,4,1,4,2,2,1.07,0,0,0,0,19,88,0.071,0,0,0,0,0,2,0,0,0,0,2,0,0,1,6,3,2.00,0.100,29.3,18.9,7.71,7.71,1.00,0.316,0.071,0.387,/Record/Player/PitcherDetail/Basic.aspx?playerId=66858,66858,2026,SK
7,화이트,SSG,4.11,6,1,1,0,0,0.500,30 2/3,37,1,15,2,29,15,14,1.70,0,0,3,0,142,557,0.298,5,0,0,1,0,2,0,6,1,0,0,0,0,3,34,25,1.36,0.379,92.8,18.2,8.51,4.40,1.93,0.380,0.363,0.743,/Record/Player/PitcherDetail/Basic.aspx?playerId=55855,55855,2026,SK
8,백승건,SSG,4.32,5,0,0,0,0,-,8 1/3,9,0,4,0,7,5,4,1.56,0,0,0,0,39,172,0.290,4,1,1,3,0,0,0,1,0,0,1,1,0,0,6,12,0.50,0.333,34.4,20.6,7.56,4.32,1.75,0.342,0.484,0.826,/Record/Player/PitcherDetail/Basic.aspx?playerId=69839,69839,2026,SK
9,김민,SSG,4.33,27,4,3,1,6,0.571,27,23,1,16,1,29,16,13,1.44,0,0,0,1,116,401,0.232,3,0,0,0,2,3,0,0,0,4,4,7,0,5,26,21,1.24,0.319,14.9,14.9,9.67,5.33,1.81,0.345,0.293,0.638,/Record/Player/PitcherDetail/Basic.aspx?playerId=68043,68043,2026,SK
10,김건우,SSG,4.70,11,5,2,0,0,0.714,53 2/3,48,7,29,3,41,29,28,1.43,0,0,2,0,234,977,0.241,7,0,1,2,0,1,0,11,5,0,0,0,0,8,49,63,0.78,0.268,88.8,18.2,6.88,4.86,1.41,0.343,0.382,0.725,/Record/Player/PitcherDetail/Basic.aspx?playerId=51867,51867,2026,SK
11,노경은,SSG,4.88,24,1,3,0,4,0.250,24,26,5,7,1,18,15,13,1.38,0,0,0,4,108,430,0.274,5,1,3,2,2,1,0,0,0,1,3,7,0,1,26,27,0.96,0.284,17.9,17.9,6.75,2.63,2.57,0.324,0.505,0.829,/Record/Player/PitcherDetail/Basic.aspx?playerId=73211,73211,2026,SK
12,이로운,SSG,5.04,27,4,0,0,4,1.000,25,23,3,14,0,21,14,14,1.48,0,0,0,1,110,464,0.242,5,0,1,0,4,1,0,0,0,4,2,5,0,2,19,32,0.59,0.282,17.2,18.6,7.56,5.04,1.50,0.339,0.389,0.728,/Record/Player/PitcherDetail/Basic.aspx?playerId=53892,53892,2026,SK
13,김도현,SSG,5.06,4,0,0,0,0,-,5 1/3,3,1,9,0,2,3,3,2.25,0,0,0,0,27,117,0.167,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,8,0.63,0.133,29.3,21.9,3.38,15.19,0.22,0.444,0.333,0.777,/Record/Player/PitcherDetail/Basic.aspx?playerId=52844,52844,2026,SK
14,베니지아노,SSG,5.63,10,1,3,0,0,0.250,46 1/3,58,7,20,5,34,33,29,1.68,0,0,0,0,221,883,0.305,8,0,6,0,0,1,0,10,1,0,0,0,0,3,52,46,1.13,0.342,88.3,19.1,6.60,3.88,1.70,0.386,0.458,0.844,/Record/Player/PitcherDetail/Basic.aspx?playerId=56841,56841,2026,SK
15,한두솔,SSG,5.75,20,0,0,0,0,-,20 1/3,29,2,4,4,17,14,13,1.62,0,0,0,0,98,331,0.333,2,0,1,2,0,0,0,0,0,0,9,0,0,0,18,25,0.72,0.386,16.6,16.3,7.52,1.77,4.25,0.381,0.425,0.806,/Record/Player/PitcherDetail/Basic.aspx?playerId=68092,68092,2026,SK
