순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,player_link,player_id,season_year,team_code
51,김민성,LG,2루수,6,6,45,0,0,14,15,7,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2022,LG
51,송찬의,LG,우익수,6,4,34,0,0,10,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2022,LG
51,이영빈,LG,1루수,6,2,20,0,0,19,0,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2022,LG
51,이천웅,LG,좌익수,6,1,19,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=61186,61186,2022,LG
51,허준혁,LG,투수,6,0,4 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=52119,52119,2022,LG
56,이상호,LG,3루수,5,2,18 1/3,1,0,3,7,1,0.909,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2022,LG
56,이형종,LG,우익수,5,2,22 2/3,0,0,7,1,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78135,78135,2022,LG
56,홍창기,LG,좌익수,5,2,25 2/3,0,0,10,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2022,LG
59,가르시아,LG,3루수,4,3,27 1/3,1,0,2,5,0,0.875,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52125,52125,2022,LG
59,루이즈,LG,2루수,4,4,35,1,0,6,7,2,0.929,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52112,52112,2022,LG
59,신민재,LG,중견수,4,0,8,0,0,4,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2022,LG
59,안익훈,LG,중견수,4,0,8,0,0,3,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2022,LG
59,오석주,LG,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67116,67116,2022,LG
59,이지강,LG,투수,4,1,11,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69108,69108,2022,LG
65,손주영,LG,투수,3,3,12 2/3,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67143,67143,2022,LG
65,손호영,LG,3루수,3,0,6,0,0,0,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2022,LG
65,신민재,LG,좌익수,3,0,4 1/3,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2022,LG
