순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,player_link,player_id,season_year,team_code
71,김수인,LG,2루수,2,0,4,1,0,1,3,2,0.800,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50115,50115,2024,LG
71,김주온,LG,투수,2,0,4 2/3,0,0,1,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65411,65411,2024,LG
71,성동현,LG,투수,2,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68159,68159,2024,LG
71,함창건,LG,우익수,2,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50108,50108,2024,LG
75,강효종,LG,투수,1,1,1 1/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51143,51143,2024,LG
75,김대원,LG,2루수,1,0,1,0,0,1,1,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=54164,54164,2024,LG
75,김성진,LG,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69105,69105,2024,LG
75,김수인,LG,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50115,50115,2024,LG
75,김윤식,LG,투수,1,1,3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50157,50157,2024,LG
75,김정율,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67504,67504,2024,LG
75,김현종,LG,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=54166,54166,2024,LG
75,문성주,LG,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2024,LG
75,신민재,LG,좌익수,1,0,3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2024,LG
75,이믿음,LG,투수,1,1,4,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51110,51110,2024,LG
75,이영빈,LG,좌익수,1,1,5,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
75,이영빈,LG,중견수,1,0,1,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
75,최명경,LG,3루수,1,0,6,0,0,1,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=54112,54112,2024,LG
