season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2026,66657,이진영,한화,HH,16,0.24,21,54,50,7,12,2,0,2,20,8,0,0,4,0,0,15,1,0.4,0.296,0.696,4,0.235,0.0,4,15,8,1.88,0,0.27,4.3,0.16,6.0,0.233
2026,78288,최재훈,한화,HH,17,0.194,26,77,62,6,12,0,0,0,12,8,2,2,6,0,5,13,2,0.194,0.307,0.501,1,0.12,0.0,0,18,21,0.86,1,0.46,4.12,0.0,5.2,0.187
2026,56754,오재원,한화,HH,18,0.172,36,70,64,14,11,1,0,0,12,4,1,0,5,0,0,10,1,0.188,0.232,0.42,3,0.214,0.0,1,28,15,1.87,1,0.5,3.71,0.016,2.4,0.151
2026,53754,김서현,한화,HH,19,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,65616,이민우,한화,HH,19,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,56793,최유빈,한화,HH,19,,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,56760,쿠싱,한화,HH,19,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2026,67807,이정범,SSG,SK,1,1.0,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2.0,1.0,3.0,0,0.0,0.0,1,0,0,,0,,3.0,1.0,0.7,0.95
2026,52804,석정우,SSG,SK,2,0.5,3,3,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0.5,0.667,1.167,0,0.5,0.0,0,0,0,,0,1.0,4.67,0.0,0.7,0.425
2026,55897,홍대인,SSG,SK,3,0.417,20,14,12,5,5,1,0,0,6,3,0,0,2,0,0,1,0,0.5,0.5,1.0,0,0.0,0.4,1,3,3,1.0,0,2.0,4.14,0.083,3.3,0.35
2026,69804,채현우,SSG,SK,4,0.381,25,23,21,7,8,2,0,0,10,4,0,2,0,0,0,4,0,0.476,0.348,0.824,0,0.5,0.667,2,5,6,0.83,2,0.0,2.52,0.095,4.3,0.276
2026,67893,박성한,SSG,SK,5,0.377,42,194,159,33,60,10,1,3,81,29,0,2,32,0,1,20,2,0.509,0.479,0.988,18,0.463,0.0,14,44,37,1.19,3,1.6,4.31,0.132,38.3,0.343
2026,51868,고명준,SSG,SK,6,0.365,17,68,63,9,23,5,0,4,40,12,0,0,5,0,0,14,0,0.635,0.412,1.047,7,0.294,0.0,9,12,14,0.86,2,0.36,3.28,0.27,14.5,0.344
2026,68868,최준우,SSG,SK,7,0.333,15,34,27,8,9,2,0,0,11,0,0,0,7,0,0,4,0,0.407,0.471,0.878,2,0.143,0.25,2,10,4,2.5,0,1.75,4.82,0.074,5.7,0.314
2026,54812,정준재,SSG,SK,8,0.308,39,142,120,24,37,5,3,1,51,16,3,2,16,0,1,20,2,0.425,0.388,0.813,13,0.433,0.5,9,33,32,1.03,2,0.8,3.92,0.117,20.9,0.281
2026,66864,안상현,SSG,SK,9,0.293,29,71,58,14,17,4,0,1,24,4,3,0,8,0,2,12,3,0.414,0.397,0.811,4,0.267,0.333,5,20,9,2.22,0,0.67,3.79,0.121,9.2,0.282
2026,62864,김민식,SSG,SK,10,0.286,6,7,7,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.286,0.286,0.572,0,0.0,0.667,0,2,2,1.0,0,0.0,3.71,0.0,0.5,0.2
2026,53827,에레디아,SSG,SK,11,0.281,42,186,171,19,48,6,0,6,72,38,0,4,9,0,2,35,3,0.421,0.317,0.738,15,0.357,0.0,12,27,65,0.42,1,0.26,3.54,0.14,23.1,0.248
2026,75847,최정,SSG,SK,12,0.267,41,182,150,24,40,9,1,11,84,29,0,4,25,3,3,40,0,0.56,0.374,0.934,8,0.22,0.0,21,18,56,0.32,5,0.63,4.0,0.293,33.6,0.308
2026,62934,김성욱,SSG,SK,13,0.256,27,49,39,8,10,1,0,1,14,6,0,1,8,0,1,13,0,0.359,0.388,0.747,2,0.25,0.0,2,9,8,1.13,0,0.62,4.37,0.103,7.1,0.264
2026,60558,오태곤,SSG,SK,14,0.252,38,121,111,17,28,6,0,5,49,19,0,1,7,0,2,32,4,0.441,0.306,0.747,5,0.314,0.222,11,30,22,1.36,2,0.22,3.86,0.189,14.5,0.248
2026,51865,조형우,SSG,SK,15,0.24,30,109,96,12,23,4,0,1,30,11,3,1,6,0,3,16,1,0.313,0.302,0.615,5,0.269,0.0,5,27,31,0.87,1,0.38,3.61,0.073,9.8,0.214
2026,50854,최지훈,SSG,SK,16,0.239,42,179,163,29,39,9,1,6,68,25,1,1,12,0,2,23,4,0.417,0.298,0.715,10,0.25,0.0,16,48,54,0.89,2,0.52,3.93,0.178,21.1,0.238
2026,50868,류효승,SSG,SK,17,0.176,7,18,17,1,3,0,0,1,6,1,0,0,1,0,0,3,0,0.353,0.222,0.575,0,0.0,0.0,1,6,5,1.2,0,0.33,4.06,0.176,1.5,0.188
2026,78224,김재환,SSG,SK,18,0.167,34,141,114,14,19,1,0,5,35,18,0,1,26,0,0,35,3,0.307,0.319,0.626,3,0.257,0.0,6,31,30,1.03,0,0.74,4.05,0.14,13.7,0.22
