season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2026,68868,최준우,SSG,SK,23,우익수,11,7,62,0,0,15,0,0,1.0,0,0,0,
2026,51867,김건우,SSG,SK,24,투수,9,9,46,0,0,1,4,0,1.0,0,0,0,
2026,53865,김정민,SSG,SK,26,우익수,8,0,19 1/3,0,0,5,0,0,1.0,0,0,0,
2026,56841,베니지아노,SSG,SK,26,투수,8,8,36 1/3,1,0,1,12,1,0.929,0,0,0,
2026,68856,최민준,SSG,SK,26,투수,8,8,35 2/3,0,0,1,6,1,1.0,0,0,0,
2026,52868,이기순,SSG,SK,30,투수,7,1,9 1/3,0,0,0,0,0,,0,0,0,
2026,56823,타케다,SSG,SK,30,투수,7,7,27 1/3,0,0,2,2,0,1.0,0,0,0,
2026,62864,김민식,SSG,SK,32,포수,6,1,15 1/3,0,0,12,0,0,1.0,1,2,0,0.0
2026,55897,홍대인,SSG,SK,32,3루수,6,1,13,0,0,1,3,1,1.0,0,0,0,
2026,55855,화이트,SSG,SK,32,투수,6,6,30 2/3,2,0,0,4,0,0.667,0,0,0,
2026,69839,백승건,SSG,SK,35,투수,5,1,8 1/3,0,0,0,0,0,,0,0,0,
2026,52844,김도현,SSG,SK,36,투수,4,0,5 1/3,0,0,0,2,0,1.0,0,0,0,
2026,69825,김창평,SSG,SK,36,우익수,4,2,18 2/3,0,0,4,0,0,1.0,0,0,0,
2026,78224,김재환,SSG,SK,40,좌익수,3,3,26,0,0,7,0,0,1.0,0,0,0,
2026,56800,긴지로,SSG,SK,44,투수,2,2,7,0,0,0,0,0,,0,0,0,
2026,52804,석정우,SSG,SK,44,3루수,2,0,2,0,0,0,0,0,,0,0,0,
2026,66858,정동윤,SSG,SK,44,투수,2,0,3 1/3,0,0,0,1,0,1.0,0,0,0,
2026,53893,김민준,SSG,SK,49,3루수,1,0,2/3,1,0,0,0,0,0.0,0,0,0,
2026,65343,김택형,SSG,SK,49,투수,1,0,2/3,0,0,0,0,0,,0,0,0,
2026,50868,류효승,SSG,SK,49,1루수,1,0,1,0,0,0,0,0,,0,0,0,
2026,67807,이정범,SSG,SK,49,1루수,1,0,3,0,0,4,2,0,1.0,0,0,0,
2026,51702,이준기,SSG,SK,49,투수,1,0,2,0,0,0,0,0,,0,0,0,
2026,54400,디아즈,삼성,SS,1,1루수,42,42,360,2,0,337,36,35,0.995,0,0,0,
2026,62234,류지혁,삼성,SS,2,2루수,38,36,292 1/3,5,0,69,103,24,0.972,0,0,0,
2026,50458,김지찬,삼성,SS,3,중견수,35,31,260 2/3,0,0,69,1,0,1.0,0,0,0,
2026,65586,전병우,삼성,SS,4,3루수,33,29,256 1/3,3,0,15,47,3,0.954,0,0,0,
2026,74540,강민호,삼성,SS,5,포수,30,24,191,1,0,145,8,2,0.994,3,17,2,10.5
2026,52415,이재현,삼성,SS,6,유격수,23,22,173,4,0,35,54,16,0.957,0,0,0,
2026,67449,김성윤,삼성,SS,7,우익수,22,17,151 1/3,0,0,45,1,0,1.0,0,0,0,
2026,61404,김헌곤,삼성,SS,7,좌익수,22,11,105 2/3,0,0,24,0,0,1.0,0,0,0,
2026,62244,박세혁,삼성,SS,7,포수,22,8,91 1/3,0,0,61,10,0,1.0,0,12,0,0.0
2026,62404,구자욱,삼성,SS,10,좌익수,21,21,165,1,0,26,0,0,0.963,0,0,0,
2026,55455,배찬승,삼성,SS,10,투수,21,0,16,0,0,1,3,0,1.0,0,0,0,
2026,50464,이승민,삼성,SS,10,투수,21,0,22,0,0,2,5,1,1.0,0,0,0,
2026,60146,이승현,삼성,SS,10,투수,21,0,15 2/3,0,0,0,0,0,,0,0,0,
2026,56415,미야지,삼성,SS,14,투수,20,0,16,0,0,1,0,0,1.0,0,0,0,
2026,69418,박승규,삼성,SS,14,우익수,20,18,146 1/3,1,0,46,1,0,0.979,0,0,0,
2026,65062,김재윤,삼성,SS,16,투수,19,0,17,0,0,1,1,0,1.0,0,0,0,
2026,77446,백정현,삼성,SS,17,투수,13,0,12 1/3,0,0,0,1,0,1.0,0,0,0,
2026,69403,양우현,삼성,SS,17,유격수,13,10,81 1/3,1,0,13,30,5,0.977,0,0,0,
2026,69416,이해승,삼성,SS,17,유격수,13,1,47,0,0,8,16,3,1.0,0,0,0,
2026,62754,임기영,삼성,SS,17,투수,13,0,21,0,0,0,3,0,1.0,0,0,0,
2026,63202,장승현,삼성,SS,22,포수,12,2,36,0,0,31,0,0,1.0,0,3,0,0.0
2026,69442,김도환,삼성,SS,24,포수,10,8,55 2/3,0,0,50,2,0,1.0,1,3,2,40.0
2026,52430,김영웅,삼성,SS,24,3루수,10,10,88,1,0,8,24,3,0.97,0,0,0,
2026,56460,장찬희,삼성,SS,24,투수,10,3,26 2/3,0,0,0,2,0,1.0,0,0,0,
2026,62360,김태훈,삼성,SS,27,투수,9,0,8 1/3,0,0,1,2,0,1.0,0,0,0,
2026,56464,오러클린,삼성,SS,27,투수,9,9,46,0,0,0,9,0,1.0,0,0,0,
2026,53375,후라도,삼성,SS,27,투수,9,9,58,0,0,6,6,0,1.0,0,0,0,
2026,65320,최원태,삼성,SS,30,투수,8,8,40 2/3,1,0,3,4,1,0.875,0,0,0,
2026,67421,최지광,삼성,SS,30,투수,8,0,6 1/3,0,0,1,1,0,1.0,0,0,0,
2026,55425,김상준,삼성,SS,33,유격수,7,3,27 2/3,0,0,3,5,1,1.0,0,0,0,
2026,68415,양창섭,삼성,SS,33,투수,7,4,20 2/3,0,0,3,1,0,1.0,0,0,0,
2026,64468,박계범,삼성,SS,35,유격수,6,4,34,0,0,5,10,0,1.0,0,0,0,
2026,69446,원태인,삼성,SS,35,투수,6,6,33 1/3,0,0,3,9,0,1.0,0,0,0,
2026,66409,이성규,삼성,SS,37,좌익수,5,1,18 1/3,0,0,3,0,0,1.0,0,0,0,
2026,55438,심재훈,삼성,SS,40,유격수,4,2,11,0,0,4,4,3,1.0,0,0,0,
2026,72443,최형우,삼성,SS,40,좌익수,4,4,29,0,0,7,0,0,1.0,0,0,0,
2026,55440,함수호,삼성,SS,40,좌익수,4,2,18,0,0,3,0,0,1.0,0,0,0,
2026,53400,김재상,삼성,SS,48,2루수,3,3,20 2/3,0,0,6,8,2,1.0,0,0,0,
2026,51454,이승현,삼성,SS,48,투수,3,3,10 1/3,0,0,1,2,0,1.0,0,0,0,
2026,67005,홍현빈,삼성,SS,48,좌익수,3,1,13,0,0,0,0,0,,0,0,0,
2026,52424,김재혁,삼성,SS,56,중견수,2,0,3,0,0,2,0,0,1.0,0,0,0,
2026,65040,김태훈,삼성,SS,56,우익수,2,1,8,0,0,2,0,0,1.0,0,0,0,
2026,54404,육선엽,삼성,SS,56,투수,2,0,2 1/3,0,0,0,1,0,1.0,0,0,0,
2026,56469,정재훈,삼성,SS,56,투수,2,0,1 1/3,0,0,0,1,1,1.0,0,0,0,
2026,68463,윤정빈,삼성,SS,63,우익수,1,1,9,0,0,0,0,0,,0,0,0,
2026,51907,김주원,NC,NC,1,유격수,42,40,343 2/3,5,0,59,107,22,0.971,0,0,0,
