season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2025,55712,이승현,한화,HH,60,2루수,2,0,3,0,0,0,0,0,,0,0,0,
2025,50709,박정현,한화,HH,66,3루수,1,0,1,0,0,0,0,0,,0,0,0,
2025,52731,박준영,한화,HH,66,투수,1,1,5,0,0,0,0,0,,0,0,0,
2025,55710,이민재,한화,HH,66,우익수,1,1,5,0,0,1,0,0,1.0,0,0,0,
2025,51762,장규현,한화,HH,66,포수,1,0,2 2/3,0,0,3,0,0,1.0,0,0,0,
2025,50854,최지훈,SSG,SK,1,중견수,136,128,1136,5,0,249,3,1,0.981,0,0,0,
2025,67893,박성한,SSG,SK,2,유격수,127,124,1065 1/3,20,0,222,340,90,0.966,0,0,0,
2025,51868,고명준,SSG,SK,3,1루수,123,120,986,3,0,850,81,91,0.997,0,0,0,
2025,54812,정준재,SSG,SK,3,2루수,123,102,932 2/3,9,0,214,297,78,0.983,0,0,0,
2025,51865,조형우,SSG,SK,5,포수,102,80,696 1/3,4,5,659,60,7,0.994,3,56,22,28.2
2025,53827,에레디아,SSG,SK,6,좌익수,86,86,740 2/3,2,0,194,6,0,0.99,0,0,0,
2025,62895,한유섬,SSG,SK,7,우익수,81,79,642,2,0,122,3,1,0.984,0,0,0,
2025,73211,노경은,SSG,SK,8,투수,77,0,80,0,0,3,8,0,1.0,0,0,0,
2025,53892,이로운,SSG,SK,9,투수,75,0,77,0,1,2,13,0,1.0,0,0,0,
2025,79456,이지영,SSG,SK,10,포수,72,55,482 2/3,3,1,454,32,5,0.994,1,45,10,18.2
2025,68043,김민,SSG,SK,11,투수,70,0,63 2/3,0,0,1,8,1,1.0,0,0,0,
2025,51897,조병현,SSG,SK,12,투수,69,0,67 1/3,0,0,0,6,1,1.0,0,0,0,
2025,60558,오태곤,SSG,SK,13,1루수,58,10,178 1/3,0,0,154,10,23,1.0,0,0,0,
2025,50812,박시후,SSG,SK,14,투수,52,1,52 1/3,3,0,5,13,0,0.857,0,0,0,
2025,75847,최정,SSG,SK,15,3루수,45,45,371,4,0,25,50,3,0.949,0,0,0,
2025,66864,안상현,SSG,SK,16,3루수,44,32,298 1/3,4,0,18,44,5,0.939,0,0,0,
2025,68092,한두솔,SSG,SK,16,투수,44,0,36 1/3,0,1,1,6,0,1.0,0,0,0,
2025,68856,최민준,SSG,SK,18,투수,40,8,65 2/3,0,0,4,4,0,1.0,0,0,0,
2025,76802,김성현,SSG,SK,19,3루수,37,17,182,4,0,9,30,1,0.907,0,0,0,
2025,51867,김건우,SSG,SK,20,투수,35,13,66,2,0,1,5,0,0.75,0,0,0,
2025,52809,전영준,SSG,SK,21,투수,34,5,52 2/3,0,0,0,9,0,1.0,0,0,0,
2025,68868,최준우,SSG,SK,21,좌익수,34,22,212,0,0,37,1,0,1.0,0,0,0,
2025,62934,김성욱,SSG,SK,23,우익수,32,16,164 2/3,0,0,33,0,0,1.0,0,0,0,
2025,66917,김찬형,SSG,SK,23,3루수,32,20,175 1/3,3,0,18,39,6,0.95,0,0,0,
2025,54833,앤더슨,SSG,SK,26,투수,30,30,171 2/3,4,0,11,11,0,0.846,0,0,0,
2025,77829,김광현,SSG,SK,27,투수,28,28,144,2,0,6,25,3,0.939,0,0,0,
2025,65343,김택형,SSG,SK,30,투수,24,0,22 2/3,0,0,2,3,1,1.0,0,0,0,
2025,55855,화이트,SSG,SK,30,투수,24,24,134 2/3,3,0,14,12,0,0.897,0,0,0,
2025,62869,문승원,SSG,SK,32,투수,23,21,105 1/3,0,1,4,17,0,1.0,0,0,0,
2025,66662,신범수,SSG,SK,32,포수,23,8,82 1/3,0,0,75,4,0,1.0,0,9,1,10.0
2025,53898,송영진,SSG,SK,34,투수,21,8,63 1/3,2,0,4,6,1,0.833,0,0,0,
2025,52804,석정우,SSG,SK,36,3루수,20,8,78 1/3,2,0,2,7,0,0.818,0,0,0,
2025,69804,채현우,SSG,SK,37,우익수,19,3,53 1/3,0,0,10,0,0,1.0,0,0,0,
2025,54802,박기호,SSG,SK,39,투수,18,1,24,0,0,0,4,1,1.0,0,0,0,
2025,54805,박지환,SSG,SK,39,3루수,18,17,138 1/3,5,0,12,26,1,0.884,0,0,0,
2025,68805,최상민,SSG,SK,43,우익수,14,0,23 2/3,0,0,6,0,0,1.0,0,0,0,
2025,54803,최현석,SSG,SK,45,투수,13,0,17 1/3,0,1,1,2,0,1.0,0,0,0,
2025,66858,정동윤,SSG,SK,46,투수,12,0,17 1/3,1,0,1,3,1,0.8,0,0,0,
2025,69813,하재훈,SSG,SK,48,우익수,11,10,79 1/3,1,0,13,0,0,0.929,0,0,0,
2025,50840,현원회,SSG,SK,48,1루수,11,9,62,0,0,62,9,6,1.0,0,0,0,
2025,55844,맥브룸,SSG,SK,50,우익수,10,10,72,0,0,15,0,0,1.0,0,0,0,
2025,67900,김수윤,SSG,SK,55,3루수,7,5,35,2,0,4,8,2,0.857,0,0,0,
2025,55832,이율예,SSG,SK,58,포수,6,1,22,2,0,13,2,0,0.882,0,0,0,
2025,60841,박종훈,SSG,SK,62,투수,5,5,19,0,0,1,8,1,1.0,0,0,0,
2025,55897,홍대인,SSG,SK,64,2루수,3,0,6,1,0,0,1,0,0.5,0,0,0,
2025,50848,김성민,SSG,SK,66,투수,2,0,2/3,0,0,0,0,0,,0,0,0,
2025,69825,김창평,SSG,SK,66,우익수,2,0,4,0,0,0,0,0,,0,0,0,
2025,52803,김태윤,SSG,SK,66,2루수,2,0,2,0,0,0,1,0,1.0,0,0,0,
2025,50868,류효승,SSG,SK,66,좌익수,2,1,5,0,0,0,0,0,,0,0,0,
2025,61895,서진용,SSG,SK,66,투수,2,0,1 1/3,0,0,0,0,0,,0,0,0,
2025,52807,임근우,SSG,SK,66,우익수,2,1,12,0,0,5,0,0,1.0,0,0,0,
2025,55860,신지환,SSG,SK,75,투수,1,0,1,0,0,0,0,0,,0,0,0,
2025,67807,이정범,SSG,SK,75,1루수,1,0,2,0,0,1,0,0,1.0,0,0,0,
2025,54815,정현승,SSG,SK,75,좌익수,1,0,1 2/3,0,0,0,0,0,,0,0,0,
2025,52415,이재현,삼성,SS,1,유격수,136,132,1117,23,0,217,333,73,0.96,0,0,0,
2025,54400,디아즈,삼성,SS,2,1루수,128,126,1085 1/3,4,0,1013,87,89,0.996,0,0,0,
2025,74540,강민호,삼성,SS,3,포수,123,104,876 2/3,2,0,740,40,3,0.997,8,72,11,13.3
2025,52430,김영웅,삼성,SS,4,3루수,118,114,964 1/3,11,0,81,207,23,0.963,0,0,0,
2025,62234,류지혁,삼성,SS,5,2루수,113,100,811 1/3,4,0,184,254,58,0.991,0,0,0,
2025,62404,구자욱,삼성,SS,6,좌익수,99,95,791 1/3,3,0,162,1,0,0.982,0,0,0,
2025,50458,김지찬,삼성,SS,7,중견수,77,69,565,1,0,157,1,1,0.994,0,0,0,
2025,67449,김성윤,삼성,SS,8,우익수,73,64,535,1,0,97,3,0,0.99,0,0,0,
2025,62360,김태훈,삼성,SS,8,투수,73,0,66 1/3,2,0,1,8,1,0.818,0,0,0,
2025,55455,배찬승,삼성,SS,10,투수,65,0,50 2/3,0,0,3,7,0,1.0,0,0,0,
2025,65062,김재윤,삼성,SS,11,투수,63,0,57 2/3,0,0,3,9,0,1.0,0,0,0,
2025,54408,양도근,삼성,SS,11,2루수,63,26,285,2,0,80,86,22,0.988,0,0,0,
2025,50464,이승민,삼성,SS,13,투수,62,1,64 1/3,0,0,5,10,1,1.0,0,0,0,
2025,53455,이호성,삼성,SS,15,투수,58,0,55 1/3,1,0,3,6,1,0.9,0,0,0,
2025,69428,이병헌,삼성,SS,16,포수,55,13,184,2,0,154,9,1,0.988,2,16,1,5.9
2025,61404,김헌곤,삼성,SS,17,좌익수,49,21,201,0,0,43,0,0,1.0,0,0,0,
2025,66409,이성규,삼성,SS,18,우익수,44,21,207 2/3,2,0,49,1,1,0.962,0,0,0,
2025,65132,김재성,삼성,SS,19,포수,43,22,176,0,0,147,13,5,1.0,2,15,6,28.6
2025,60146,이승현,삼성,SS,20,투수,42,0,35 2/3,0,0,1,4,0,1.0,0,0,0,
2025,65586,전병우,삼성,SS,21,3루수,36,14,140 1/3,0,0,10,23,2,1.0,0,0,0,
2025,68415,양창섭,삼성,SS,24,투수,33,6,63,1,0,3,9,1,0.923,0,0,0,
2025,69418,박승규,삼성,SS,25,중견수,32,20,177 1/3,0,0,49,1,0,1.0,0,0,0,
2025,53375,후라도,삼성,SS,26,투수,30,30,197 1/3,0,1,18,27,1,1.0,0,0,0,
2025,77446,백정현,삼성,SS,27,투수,29,1,32 1/3,0,0,2,3,0,1.0,0,0,0,
2025,69446,원태인,삼성,SS,28,투수,27,27,166 2/3,4,4,10,25,0,0.897,0,0,0,
2025,54404,육선엽,삼성,SS,28,투수,27,1,28 2/3,1,0,0,6,1,0.857,0,0,0,
2025,65320,최원태,삼성,SS,28,투수,27,24,124 1/3,2,1,3,24,0,0.931,0,0,0,
2025,51454,이승현,삼성,SS,31,투수,25,23,101 1/3,0,0,3,13,0,1.0,0,0,0,
2025,55438,심재훈,삼성,SS,33,2루수,22,9,100 1/3,0,0,18,26,8,1.0,0,0,0,
2025,68463,윤정빈,삼성,SS,34,우익수,19,10,98,0,0,20,1,0,1.0,0,0,0,
2025,78352,임창민,삼성,SS,35,투수,16,0,13,1,0,0,1,0,0.5,0,0,0,
2025,55460,가라비토,삼성,SS,36,투수,15,15,78 1/3,1,1,5,10,1,0.938,0,0,0,
2025,65040,김태훈,삼성,SS,36,좌익수,15,10,75 2/3,2,0,20,0,0,0.909,0,0,0,
2025,50441,황동재,삼성,SS,36,투수,15,1,20 2/3,1,0,0,1,0,0.5,0,0,0,
2025,75125,박병호,삼성,SS,41,1루수,14,12,84,2,0,56,12,6,0.971,0,0,0,
2025,75421,오승환,삼성,SS,44,투수,12,0,9,0,0,0,1,0,1.0,0,0,0,
2025,67005,홍현빈,삼성,SS,44,좌익수,12,0,22,1,0,6,0,0,0.857,0,0,0,
2025,54401,김대호,삼성,SS,48,투수,11,4,21,0,0,1,2,0,1.0,0,0,0,
2025,51460,이재희,삼성,SS,48,투수,11,0,9,0,0,0,0,0,,0,0,0,
2025,54443,레예스,삼성,SS,51,투수,10,10,50,0,1,3,6,0,1.0,0,0,0,
2025,63492,이재익,삼성,SS,53,투수,7,0,7 1/3,0,0,0,1,0,1.0,0,0,0,
2025,69442,김도환,삼성,SS,55,포수,6,5,31,0,0,23,1,0,1.0,0,4,1,20.0
2025,66406,안주형,삼성,SS,55,2루수,6,4,31,2,0,8,8,0,0.889,0,0,0,
2025,69403,양우현,삼성,SS,55,2루수,6,1,21,1,0,4,5,1,0.9,0,0,0,
2025,52424,김재혁,삼성,SS,59,중견수,5,0,8,0,0,2,0,0,1.0,0,0,0,
2025,73801,송은범,삼성,SS,59,투수,5,0,6,0,0,0,1,0,1.0,0,0,0,
2025,69207,김태근,삼성,SS,61,좌익수,4,1,18,0,0,2,0,0,1.0,0,0,0,
2025,61268,양현,삼성,SS,61,투수,4,0,3 1/3,0,0,0,0,0,,0,0,0,
2025,66451,최충연,삼성,SS,61,투수,4,0,1 2/3,0,0,0,0,0,,0,0,0,
2025,51407,이창용,삼성,SS,65,1루수,3,1,10,1,0,12,0,2,0.923,0,0,0,
2025,55440,함수호,삼성,SS,65,좌익수,3,2,16,0,0,2,0,0,1.0,0,0,0,
2025,61365,김대우,삼성,SS,70,투수,2,0,2/3,0,0,0,0,0,,0,0,0,
2025,69416,이해승,삼성,SS,70,유격수,2,1,10,1,0,1,2,0,0.75,0,0,0,
2025,62146,최성훈,삼성,SS,70,투수,2,0,1,0,0,0,1,0,1.0,0,0,0,
2025,50430,홍원표,삼성,SS,70,투수,2,0,2,0,0,0,0,0,,0,0,0,
2025,53411,박진우,삼성,SS,79,포수,1,0,1,0,0,0,0,0,,0,0,0,
2025,63960,이상민,삼성,SS,79,투수,1,0,1,0,0,0,0,0,,0,0,0,
2025,54467,정민성,삼성,SS,79,투수,1,1,1,0,0,0,0,0,,0,0,0,
2025,51907,김주원,NC,NC,1,유격수,140,139,1166,29,0,246,336,79,0.953,0,0,0,
2025,51344,김휘집,NC,NC,2,3루수,130,119,1005,19,0,106,193,20,0.94,0,0,0,
2025,68912,김형준,NC,NC,3,포수,123,107,906,4,1,782,78,8,0.995,6,47,26,35.6
2025,63963,권희동,NC,NC,4,좌익수,103,82,669 1/3,1,0,135,7,0,0.993,0,0,0,
2025,62907,박민우,NC,NC,5,2루수,100,96,766 1/3,10,0,205,259,58,0.979,0,0,0,
2025,54944,데이비슨,NC,NC,6,1루수,87,87,660 1/3,2,0,572,46,53,0.997,0,0,0,
2025,66606,최원준,NC,NC,7,중견수,80,71,611 2/3,1,0,158,6,1,0.994,0,0,0,
2025,67954,김진호,NC,NC,8,투수,76,0,72 1/3,0,2,4,8,0,1.0,0,0,0,
2025,63260,이우성,NC,NC,9,좌익수,75,66,470 1/3,2,0,120,3,1,0.984,0,0,0,
2025,69969,전사민,NC,NC,10,투수,74,0,82 1/3,1,0,3,16,1,0.95,0,0,0,
2025,64995,배재환,NC,NC,11,투수,70,0,60 1/3,0,0,5,7,0,1.0,0,0,0,
2025,79215,박건우,NC,NC,12,우익수,69,64,458,1,0,83,5,1,0.989,0,0,0,
2025,65949,류진욱,NC,NC,14,투수,62,0,66,1,0,4,13,3,0.944,0,0,0,
2025,67905,천재환,NC,NC,15,중견수,60,39,314 2/3,0,0,87,1,0,1.0,0,0,0,
2025,69995,서호철,NC,NC,16,1루수,55,27,272,1,0,241,7,26,0.996,0,0,0,
2025,54904,손주환,NC,NC,18,투수,52,0,51 2/3,1,0,5,0,0,0.833,0,0,0,
2025,68900,김영규,NC,NC,20,투수,45,0,44,2,0,2,7,1,0.818,0,0,0,
2025,69992,최정원,NC,NC,20,중견수,45,18,210,0,0,52,2,0,1.0,0,0,0,
2025,50600,홍종표,NC,NC,22,2루수,44,10,164 1/3,2,0,46,50,12,0.98,0,0,0,
2025,62244,박세혁,NC,NC,23,포수,43,19,185 1/3,3,0,148,12,1,0.982,0,22,2,8.3
2025,66920,최성영,NC,NC,24,투수,35,6,47 2/3,0,0,0,7,0,1.0,0,0,0,
2025,50996,박시원,NC,NC,25,우익수,34,4,93 1/3,0,0,18,0,0,1.0,0,0,0,
2025,55912,로건,NC,NC,26,투수,32,31,173,1,0,5,18,0,0.958,0,0,0,
2025,64022,안중열,NC,NC,26,포수,32,15,145 2/3,2,0,99,11,0,0.982,1,6,1,14.3
2025,63959,임정호,NC,NC,28,투수,31,0,18 2/3,1,0,1,3,0,0.8,0,0,0,
2025,55903,라일리,NC,NC,31,투수,30,30,172,4,1,8,10,0,0.818,0,0,0,
2025,64101,한석현,NC,NC,31,중견수,30,20,186 2/3,1,0,49,2,0,0.981,0,0,0,
2025,50902,김한별,NC,NC,33,유격수,28,5,82,2,0,17,29,5,0.958,0,0,0,
2025,68902,신민혁,NC,NC,33,투수,28,28,132,2,0,6,13,2,0.905,0,0,0,
2025,52992,이준혁,NC,NC,37,투수,25,3,37,0,0,1,5,2,1.0,0,0,0,
2025,66965,도태훈,NC,NC,39,1루수,23,5,89,0,0,77,8,9,1.0,0,0,0,
2025,64580,김재열,NC,NC,41,투수,22,0,21 2/3,0,0,1,2,0,1.0,0,0,0,
2025,52995,김녹원,NC,NC,43,투수,21,16,70,2,0,1,7,0,0.8,0,0,0,
2025,55995,김태훈,NC,NC,45,투수,18,0,19,2,0,2,1,0,0.6,0,0,0,
2025,53973,목지훈,NC,NC,47,투수,16,15,58,1,1,4,8,2,0.923,0,0,0,
2025,68904,오영수,NC,NC,47,1루수,16,7,64,1,0,52,3,6,0.982,0,0,0,
2025,77211,이용찬,NC,NC,51,투수,12,3,15 1/3,0,0,0,1,0,1.0,0,0,0,
2025,54903,최우석,NC,NC,51,투수,12,0,14 1/3,0,0,0,1,0,1.0,0,0,0,
2025,68639,하준영,NC,NC,55,투수,10,0,5 1/3,1,0,0,1,0,0.5,0,0,0,
2025,51903,김정호,NC,NC,57,포수,8,3,32,0,0,32,2,0,1.0,0,5,1,16.7
2025,53919,신영우,NC,NC,57,투수,8,3,14 1/3,0,0,2,2,0,1.0,0,0,0,
2025,54913,김민규,NC,NC,60,투수,7,0,4 2/3,0,0,0,1,0,1.0,0,0,0,
2025,67962,소이현,NC,NC,60,투수,7,0,8,0,0,0,0,0,,0,0,0,
2025,52902,임지민,NC,NC,60,투수,7,0,4 2/3,0,0,0,0,0,,0,0,0,
2025,54908,고승완,NC,NC,66,중견수,6,1,10 1/3,0,0,8,0,0,1.0,0,0,0,
2025,50992,김태경,NC,NC,66,투수,6,4,11,1,0,0,1,0,0.5,0,0,0,
2025,52903,조민석,NC,NC,66,투수,6,2,13,2,0,0,1,0,0.333,0,0,0,
2025,50903,한재환,NC,NC,66,1루수,6,2,21,0,0,23,1,2,1.0,0,0,0,
2025,67956,김태현,NC,NC,72,투수,5,0,3,0,0,0,1,0,1.0,0,0,0,
2025,50906,박영빈,NC,NC,72,중견수,5,0,8,0,0,3,0,0,1.0,0,0,0,
2025,53992,박한결,NC,NC,72,좌익수,5,3,21,0,0,6,0,0,1.0,0,0,0,
2025,51996,오태양,NC,NC,72,2루수,5,0,8,1,0,2,4,1,0.857,0,0,0,
2025,65933,구창모,NC,NC,77,투수,4,3,14 1/3,0,0,1,3,0,1.0,0,0,0,
2025,69203,송승환,NC,NC,78,좌익수,3,1,6,0,0,1,0,0,1.0,0,0,0,
